shot_id,shot_made_flag
1,0.200503709491305
8,0.110015817212926
17,0.668550073558224
20,0.769425126704682
33,0.185700499188511
34,0.264629357131187
35,0.556771858273321
36,0.534866933377508
37,0.215601856010895
38,0.472204153846532
45,0.515085295792266
50,0.485359025370688
55,0.356036194590803
60,0.701540193135766
66,0.306259555270903
67,0.692317608670841
71,0.726574772184781
80,0.470386008086265
85,0.552380761446657
86,0.85021794772
95,0.875508656858376
104,0.293206865400461
113,0.2007986457081
123,0.412437507046775
126,0.98345934423328
133,0.126556472979645
141,0.306976597483972
144,0.59543379564463
150,0.175507936569724
152,0.617981014320208
153,0.335482551468511
156,0.595012341819118
159,1
165,0.919207178984682
172,0.0602391778930255
182,0.919207178984682
192,0.403920716427037
193,0.171575649510493
196,0.4609446494739
202,0.639132317770936
210,0.185058205408746
211,0.787585955614857
228,0.98345934423328
257,0.289718899504183
260,0.601440358553488
264,0.341489891087273
267,0.5887580181226
279,0.728253738332398
282,0.798873669917803
293,0.52315776524905
299,0.970777003802392
300,0.849970963642245
301,0.98345934423328
317,0.638710863945424
327,0.595012341819118
328,0.157900339049159
335,0.175507936569724
346,0.917639540502385
348,0.213501436037766
365,0.481673722389212
390,0.796582993064268
391,0.774017390296726
392,0.813123648830988
397,0.122624185920414
418,0.415986843442733
428,0.52174268922233
434,0.386763847245125
439,0.73011770140504
440,0.763925201163154
456,0.226183776468654
459,0.514640974629312
472,0.226183776468654
480,0.395124845743005
491,0.0823604594976147
497,0.638710863945424
509,0.326813198393195
511,0.306259555270903
523,0.0457636519643274
533,0.183635369350489
544,0.256112566511449
546,0.369895507104309
555,0.965524062338619
558,0.0602391778930255
560,0.220729668239501
573,0.065819803730895
591,0.543241350236028
596,0.257199958164072
597,0.430462369371431
601,0.451505708300199
605,0.280968846132527
617,0.40437144476569
628,0.343555020925295
634,0.667732693377652
646,0.0292229961976077
649,0.719031153867473
651,0.696955689575259
654,0.98345934423328
656,0.430462369371431
657,0.465554520448004
669,0.229399021314816
670,0.412242747457094
693,0.684227531831996
694,0.4559412695834
699,0.262561033144597
711,0.382661279459557
718,0.349608177856433
722,0.689808157669866
723,0.67854787658733
725,0.828096666115411
734,0.612947623713779
735,0.331644686031457
737,1
746,0.185058205408746
747,0.663094612473233
766,0.763925201163154
767,0.484914704207734
771,0.427535653566364
773,0.276338525259645
774,0.314332024727687
783,0.213501436037766
784,0.0344759376613809
789,0.701095871972812
792,0.289041315589311
804,0.106083530153694
809,0.679635268239953
812,0.563467308984224
813,0.156477502990903
817,0.303044310424741
820,0.622170208178704
825,0.572217362355881
826,0.526700694469308
